,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
842,Titan,6982.0, Adiri , albedo feature ,AL,-10.0,150.0,0.0
1081,Mars,218.0, Amazonis , albedo feature ,AL,0.0,220.0,0.0
1076,Mars,479.0, Ausonia , albedo feature ,AL,-39.667248,110.0,0.0
843,Titan,6983.0, Aztlan , albedo feature ,AL,-10.0,340.0,0.0
844,Titan,6984.0, Belet , albedo feature ,AL,-5.0,105.0,0.0
845,Titan,6985.0, Ching-tu , albedo feature ,AL,-30.0,155.0,0.0
846,Titan,6986.0, Dilmun , albedo feature ,AL,15.0,185.0,0.0
847,Titan,6987.0, Mezzoramia , albedo feature ,AL,-70.0,360.0,0.0
1056,Mars,5952.0, Thaumasia , albedo feature ,AL,-34.682806,275.0,0.0
848,Titan,6988.0, Quivira , albedo feature ,AL,0.0,345.0,0.0
849,Titan,6989.0, Senkyo , albedo feature ,AL,-5.0,40.0,0.0
850,Titan,6990.0, Shangri-La , albedo feature ,AL,-10.0,195.0,0.0
851,Titan,6991.0, Tsegihi , albedo feature ,AL,-40.0,350.0,0.0
1048,Mars,4696.0, Phison , albedo feature ,AL,19.783566,40.0,0.0
1047,Mars,4473.0, Ophir , albedo feature ,AL,-9.884955,295.0,0.0
212,Mercury,956.0, Caduceata , albedo feature ,AL,45.000122,225.000122,0.0
213,Mercury,5634.0, Solitudo Iovis , albedo feature ,AL,0.0,0.000122,0.0
214,Mercury,5626.0, Solitudo Admetei , albedo feature ,AL,55.000122,270.000122,0.0
215,Mercury,14798.0, Gallia , albedo feature ,AL,40.000122,240.000122,0.0
216,Mercury,14796.0, Solitudo Argiphontae , albedo feature ,AL,-10.0,25.000122,0.0
217,Mercury,14797.0, Pleias , albedo feature ,AL,15.000122,220.000122,0.0
1217,Mars,1507.0, Deuteronilus , albedo feature ,AL,34.682806,360.0,0.0
1218,Mars,1522.0, Diacria , albedo feature ,AL,49.666565,180.0,0.0
1185,Mars,1103.0, Ceraunius , albedo feature ,AL,19.783566,267.0,0.0
248,Mercury,4682.0, Phaethontias , albedo feature ,AL,0.0,193.000122,0.0
1271,Mars,2639.0, Icaria , albedo feature ,AL,-39.667248,230.0,0.0
1404,Mars,5795.0, Syrtis Major , albedo feature ,AL,9.884955,70.0,0.0
1316,Mars,4273.0, Niliacus Lacus , albedo feature ,AL,29.707944,330.0,0.0
1317,Mars,4274.0, Nilokeras , albedo feature ,AL,29.707944,305.0,0.0
1318,Mars,4278.0, Nilosyrtis , albedo feature ,AL,41.663828,70.0,0.0
1320,Mars,3826.0, Memnonia , albedo feature ,AL,-19.783566,210.0,0.0
1324,Mars,3939.0, Moab , albedo feature ,AL,19.783566,10.0,0.0
1313,Mars,3700.0, Margaritifer Sinus , albedo feature ,AL,-9.884955,335.0,0.0
1325,Mars,3943.0, Moeris Lacus , albedo feature ,AL,7.907296,90.0,0.0
1377,Mars,4885.0, Pyrrhae Regio , albedo feature ,AL,-14.831743,322.0,0.0
